MarkerLeft:
Centroid: X = 6864.281, Y = 52009.383
Circle 1-1: X = 6437.991, Y = 50542.696
Circle 1-2: X = 7277.190, Y = 50538.873
Circle 2-1: X = 6441.906, Y = 51373.734
Circle 2-2: X = 7281.173, Y = 51366.138
Circle 3-1: X = 6446.732, Y = 52645.278
Circle 3-2: X = 7286.162, Y = 52637.736
Circle 4-1: X = 6451.373, Y = 53479.892
Circle 4-2: X = 7290.572, Y = 53476.069

MarkerRight:
Centroid: X = 102251.456, Y = 51115.928
Circle 1-1: X = 101818.168, Y = 49648.794
Circle 1-2: X = 102658.660, Y = 49641.341
Circle 2-1: X = 101826.968, Y = 50487.992
Circle 2-2: X = 102666.112, Y = 50481.833
Circle 3-1: X = 101836.638, Y = 51750.003
Circle 3-2: X = 102677.290, Y = 51742.570
Circle 4-1: X = 101844.251, Y = 52590.514
Circle 4-2: X = 102684.743, Y = 52583.062
